Graduation Date,Program Name/Major,Academic Division/School,Degree Level,Outcome Type,Employing Organization,Position Location - Country,Position Location - State,Name of Institution,Degree to be earned,Program/Field of Study,Job Title
2021,Gen Business Mgmt,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,BriteBelt Int.,,Minnesota,,,,Sales Representative
2021,Mechanical Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Bühler Group,,Minnesota,,,,Project Engineer
2021,Economics - Mathematical,School of Engineering,Bachelor's Degree,Employed Full-Time,"BDO USA, LLP",,Illinois,,,,Transfer Pricing Associate
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,C.H Robinson,,Minnesota,,,,Account Executive
2021,Entrepreneurship,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,C.H. Robinson,,Minnesota,,,,Business Development Representative
2021,Operations Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,C.H. Robinson,,Minnesota,,,,Carrier Sales Representative
2021,Financial Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Cambria,,Minnesota,,,,Financial Analyst
2021,Economics - Business,College of Health,Bachelor's Degree,Employed Full-Time,Cambria,,Minnesota,,,,Business Transformation Analyst
2021,Mechanical Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Cantel Medical,,New Jersey,,,,Mechanical Engineer
2021,Environmental Sci (Biology),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Capitol Region Watershed District,,Minnesota,,,,Stormwater BMP Technician
2021,English - Creative Writing,Opus College of Business,Bachelor's Degree,Employed Full-Time,Captionmax,,Minnesota,,,,Caption Editor
2021,Computer Science (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Cardigan Donuts,,Minnesota,,,,IT and Information Security Consultant
2021,Biology (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,"CARE PLANNERS HOME HEALTH CARE, LLC",,Minnesota,,,,Personal Care Assistant
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Part-Time,Caribou Coffee,,Minnesota,,,,Barista
2021,Psychology,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Caribou Coffee,,Minnesota,,,,Store Leader
2021,Spanish Linguistics/Lang. St.,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,"Caring Professionals Homecare, LLC",,Minnesota,,,,Billing Assistant
2021,Elementary Education (K-6),Opus College of Business,Bachelor's Degree,Employed Full-Time,Carondelet Catholic School,,Minnesota,,,,3rd Grade Teacher
2021,Accounting,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,CBRE,,Minnesota,,,,Associate Accountant
2021,Human Resources Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,CBRE,,Texas,,,,Workplace Experience Coordinator
2021,COJO Strategic Communications,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,CBRE,,Texas,,,,Client Services Coordinator
2021,Biology (BS),College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,CBS Squared Inc.,,Minnesota,,,,"Building Maintenance, Surveyor"
2021,Catholic Studies,Opus College of Business,Bachelor's Degree,Employed Full-Time,CCC,,Minnesota,,,,Framer
2021,Computer Engineering,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,CDW,,Minnesota,,,,Associate Consulting Engineer
2021,Civil Engineering,Opus College of Business,Bachelor's Degree,Employed Full-Time,Cemstone,,Minnesota,,,,Environmental Specialist
2021,Marketing Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Central McGowan,,Minnesota,,,,Marketing Contractor
2021,Economics - Business,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Ceramic industrial coatings,,Minnesota,,,,Business analysis intern
2021,Human Resources Management,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,CH Robinson,,Minnesota,,,,Operations Specialist
2021,Psychology,College of Arts & Sciences,Bachelor's Degree,Employed Full-Time,Challenge Entertainment,,Minnesota,,,,Trivia Jockey
2021,Financial Management,Opus College of Business,Bachelor's Degree,Employed Full-Time,Chartwell Financial Advisory,,Minnesota,,,,Investment Banking Analyst
