Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Product Management Specialist,Software & IT,Entrust,Technology & Software,Minnesota
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Technical Solutions Engineer,Engineering,Epic,Technology & Software,Wisconsin
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's degree,2024,Staff Accountant (Central Tax),Finance & Accounting,EY,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Audit/Assurance Associate,Finance & Accounting,EY,Professional Services & Consulting,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Civil Staff Engineer,Engineering,"EVS, Inc.",Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Tax Accountant,Finance & Accounting,EY,Professional Services & Consulting,Minnesota
Nursing,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Graduate level degree,2024,ED Nurse,Healthcare & Clinical,Fairview,Healthcare & Medical,Minnesota
Nursing,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Graduate level degree,2024,RN,Healthcare & Clinical,Fairview,Healthcare & Medical,Minnesota
Nursing,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Graduate level degree,2024,RN,Healthcare & Clinical,Fairview,Healthcare & Medical,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Investment Consultant,Finance & Accounting,Fidelity Investments ,Other,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Marketing Associate,Marketing & Communications,Flare Advertising,Professional Services & Consulting,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,Junior Software Developer,Software & IT,ForeTees LLC,Technology & Software,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,Behavioral Technician,Engineering,Fraser,Government & Public Service,Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Intern,Finance & Accounting,Gateway Bank,Financial Services & Insurance,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Tax Associate,Finance & Accounting,Grant Thornton,Financial Services & Insurance,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Field Engineer,Engineering,Great River Automation,Manufacturing & Industrial,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Substation Engineer,Engineering,Great River Energy,Energy & Utilities,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Regional Sales Manager,Sales & Business Development,Greenheck Group,Manufacturing & Industrial,Minnesota
