Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Mental Health Practitioner,Healthcare & Clinical,People Incorporated,Government & Public Service,Minnesota
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Opus College of Business,Bachelor's Degree,2024,Associate Account Manager,Sales & Business Development,Periscope,Technology & Software,Minnesota
COJO Strategic Communications,COMMUNICATION & MEDIA,Communication Studies,Opus College of Business,Bachelor's Degree,2024,Associate Project Manager,Management & Leadership,Periscope,Technology & Software,Minnesota
English - Creative Writing,COMMUNICATION & MEDIA,Creative Writing,Opus College of Business,Bachelor's Degree,2024,Food Server,Sales & Business Development,Perkins Restaurant & Bakery,Retail & Consumer Products,Georgia
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,"Marketing Manager, Business Consultant",Marketing & Communications,Peters Orthodontic Specialists PLLC,Healthcare & Medical,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Insurance Agent,Finance & Accounting,Physicians Mutual Insurance Company,Financial Services & Insurance,Wisconsin
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's Degree,2024,Associate Consultant,Consulting & Advisory,Pioneer Management Consulting,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Investment Banking Analyst,Finance & Accounting,Piper Sandler,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,General Manager,Management & Leadership,Plum’s Neighborhood Bar and Grill,Retail & Consumer Products,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Validation Engineer,Engineering,Polaris,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Early Talent Specialist,Operations & Supply Chain,Polaris,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Sales and Marketing Associate,Sales & Business Development,Polaris,Manufacturing & Industrial,Minnesota
Geography,NATURAL & HEALTH SCIENCES,Environmental Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Jr. GIS Technician,Engineering,Polaris Inc.,Manufacturing & Industrial,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's Degree,2024,Sourcing Specialist 1,Operations & Supply Chain,Polaris Inc.,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Chef,Sales & Business Development,Pool & Yacht Club,Retail & Consumer Products,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Product Development Engineer,Engineering,prefer not to share,Other,Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Loan Officer,Finance & Accounting,Premier Banks,Financial Services & Insurance,Minnesota
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's Degree,2024,CNA,Healthcare & Clinical,Presbyterian homes and services,Government & Public Service,Wisconsin
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Accountant,Finance & Accounting,Prescription Landscape,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Analyst II,Software & IT,PRGX Global Inc.,Technology & Software,Georgia
International Business,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's Degree,2024,International Logistics & Sales Coordinator,Sales & Business Development,Primera Technology,Manufacturing & Industrial,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,Opus College of Business,Bachelor's Degree,2024,Technology Consultant - Security & Privacy (Cybersecurity),Software & IT,Protiviti,Professional Services & Consulting,California
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Tax Associate,Finance & Accounting,PwC,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Assurance Associate,Consulting & Advisory,PwC,Professional Services & Consulting,
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Health,Bachelor's Degree,2024,Corporate Tax Associate,Finance & Accounting,PwC,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Audit associate,Finance & Accounting,PwC,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Tax Associate,Finance & Accounting,PwC,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Staff Accountant,Finance & Accounting,PwC,Professional Services & Consulting,Wisconsin
Economics,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's Degree,2024,Technology Consultant,Software & IT,PwC,Professional Services & Consulting,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Assurance Associate,Consulting & Advisory,PwC,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Health,Bachelor's Degree,2024,Assitant Media Planner,Marketing & Communications,Quad,Manufacturing & Industrial,Wisconsin
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Independent Contractor,Operations & Supply Chain,QubicaAMF Worldwide,Manufacturing & Industrial,Virginia
International Business,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Sales Development Representative,Sales & Business Development,Queue-it,Technology & Software,Minnesota
Biochemistry,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Health,Bachelor's Degree,2024,Technical Service Associate,Software & IT,R&D Systems,Technology & Software,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,PPC Intern,Consulting & Advisory,Radd Interactive,Professional Services & Consulting,California
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's Degree,2024,Mechanical Engineer,Engineering,Radwave Technologies Inc.,Technology & Software,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Health,Bachelor's Degree,2024,Radar controls and electrical engineer,Engineering,Raytheon,Manufacturing & Industrial,Minnesota
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Electrical Engineer,Engineering,Raytheon Missiles & Defense,Manufacturing & Industrial,Arizona
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Customer Success Representative,Sales & Business Development,RazorSync LLC,Technology & Software,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Associate II,Finance & Accounting,RBC,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,School of Engineering,Bachelor's Degree,2024,Complex Operations Associate,Operations & Supply Chain,RBC Wealth Management,Financial Services & Insurance,Do not live in the United States
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Health,Bachelor's Degree,2024,Client Support Services,Finance & Accounting,RBC Wealth Management,Financial Services & Insurance,Do not live in the United States
Mathematics (Applied Track),NATURAL & HEALTH SCIENCES,Mathematics & Statistics,College of Arts & Sciences,Bachelor's Degree,2024,Tutor/Coordinator,Education & Teaching,Reaching Up Homework Help,Education & Academia,Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Co-Owner,Government & Public Service,Recovery First Sober Homes,Government & Public Service,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Mortgage Loan Officer,Finance & Accounting,Refined Lending,Financial Services & Insurance,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Mental Health Associate,Healthcare & Clinical,Regions Hospital,Healthcare & Medical,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Talent Acquisition Coordinator I,Operations & Supply Chain,Renewal by Andersen,Manufacturing & Industrial,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's Degree,2024,Patient Advocate Associate,Healthcare & Clinical,Revo Health,Healthcare & Medical,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Sales,Sales & Business Development,Rice Lake Weighing,Manufacturing & Industrial,Wisconsin
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Social Media Specialist,Marketing & Communications,RIVER VALLEY DENTAL PA,Healthcare & Medical,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Health,Bachelor's Degree,2024,Tax Associate,Finance & Accounting,RMS,Technology & Software,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Manufacturing Engineer,Engineering,rms Surgical,Healthcare & Medical,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,College of Arts & Sciences,Bachelor's Degree,2024,3rd Grade Teacher,Education & Teaching,Robbinsdale Area Schools (in Minnesota),Education & Academia,Minnesota
Bus Admin - Communication,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Senior Technical Recruiter,Human Resources,Robert Half,Professional Services & Consulting,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Owner,Sales & Business Development,Robot Dragon Studios,Retail & Consumer Products,Minnesota
Middle/Secondary Education,EDUCATION & SOCIAL SERVICES,Teacher Education,College of Arts & Sciences,Bachelor's Degree,2024,11th Grade English Teacher,Education & Teaching,Rogers High School,Education & Academia,Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Lab Technician 1,Engineering,Pennsylvania State University,Education & Academia,Illinois
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Tax Associate,Finance & Accounting,RSM,Financial Services & Insurance,Minnesota
Data Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's Degree,2024,Data Analytics/Business Intelligence Consulting Associate,Data & Analytics,RSM,Financial Services & Insurance,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Accountant,Finance & Accounting,Rsm,Financial Services & Insurance,Minnesota
Bus Admin - Communication,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Learning Coordinator,Finance & Accounting,RSM,Financial Services & Insurance,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Sales Leadership Development Program Associate,Sales & Business Development,RR Donnelley,Manufacturing & Industrial,Illinois
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,International Tax Associate,Finance & Accounting,RSM US LLP,Financial Services & Insurance,Illinois
COJO Creative Multimedia,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Digital Marketing Associate,Marketing & Communications,RSM US LLP,Financial Services & Insurance,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Project Coordinator,Management & Leadership,Rust Consulting,Professional Services & Consulting,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Health,Bachelor's Degree,2024,Operations Analyst,Operations & Supply Chain,RxSense,Technology & Software,Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's Degree,2024,Commercial Property Tax Consultant,Finance & Accounting,"Ryan, LLC",Professional Services & Consulting,Minnesota
Individualized,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Health,Bachelor's Degree,2024,Music Teacher,Education & Teaching,Saint Ambrose of Woodbury Catholic School,Education & Academia,Minnesota
Philosophy,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,College of Health,Bachelor's Degree,2024,Pastoral Associate for Adult Faith Formation and Liturgy,Nonprofit & Social Services,Saint Mary Magdalen Parish,Government & Public Service,New Jersey
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's Degree,2024,Recruitment and Student Services Coordinator,Human Resources,Saint Paul Seminary School of Divinity,Education & Academia,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Missionary,Government & Public Service,Saint Paul’s Outreach,Government & Public Service,Minnesota
Political Science,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Missionary,Government & Public Service,Saint Paul's Outreach,Government & Public Service,New Jersey
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's Degree,2024,Communications Coordinator,Marketing & Communications,Saint Rose Of Lima Catholic Church,Government & Public Service,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,College of Arts & Sciences,Bachelor's Degree,2024,3rd Grade Teacher,Education & Teaching,Saint Thomas More Catholic School,Education & Academia,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Marketing Director and Executive Assistant,Marketing & Communications,Sandvold Financial Group,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Development Analyst,Engineering,Saturday Properties,"Construction, Engineering & Real Estate",Minnesota
Philosophy,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,College of Arts & Sciences,Bachelor's Degree,2024,Membership Experience Manager,Management & Leadership,Scientific Societies,Government & Public Service,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Operations Associate,Operations & Supply Chain,"SCP Investment, LP",Financial Services & Insurance,California
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Servo Systems Design Engineer,Engineering,Seagate,Manufacturing & Industrial,Minnesota
Health Promotion & Wellness,NATURAL & HEALTH SCIENCES,Health & Wellness,School of Engineering,Bachelor's Degree,2024,Agency Services Coordinator,Government & Public Service,Second Harvest Heartland,Government & Public Service,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's Degree,2024,Engineering Analyst,Engineering,Securian Financial,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Business Leadership Analyst,Finance & Accounting,Securian Financial,Financial Services & Insurance,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Project Manager,Management & Leadership,Self-employed,Other,Minnesota
COJO Strategic Communications,COMMUNICATION & MEDIA,Communication Studies,College of Arts & Sciences,Bachelor's Degree,2024,Digital Media Sales Assistant,Sales & Business Development,"Semaphore Solutions, Inc.",Technology & Software,California
Electrical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Design Engineer,Engineering,Sensonix Inc,Manufacturing & Industrial,Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Valuation Analyst,Finance & Accounting,Shenehon Company,Professional Services & Consulting,Minnesota
COJO Creative Multimedia,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Assistant 3rd Grade Teacher,Education & Teaching,Shining Mountain Waldorf School,Education & Academia,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's Degree,2024,Sr. Lead Machine Operator,Management & Leadership,"Shutterfly, Inc.",Technology & Software,California
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Account Manager,Sales & Business Development,Sights on Service,Government & Public Service,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Influencer Relations Strategist,Consulting & Advisory,Sigma Beauty,Retail & Consumer Products,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Crew Member,Operations & Supply Chain,"Single-Ply Systems, Inc.",Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Business Development Representative,Sales & Business Development,Siteimprove,Technology & Software,
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Financial Planning specialist,Finance & Accounting,"Skipping Stone Wealth - A private wealth advisory practice of Ameriprise Financial Services, LLC",Financial Services & Insurance,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,College of Arts & Sciences,Bachelor's Degree,2024,Onboarding Coordinator,Human Resources,Sleep Number Corporation,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Design Engineer,Engineering,Smith Engineering Inc,"Construction, Engineering & Real Estate",Minnesota
Justice & Peace Studies,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Circulation Assistant,Government & Public Service,Sojourners,Government & Public Service,District of Columbia
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Engineering Associate,Engineering,Solar Turbines,Manufacturing & Industrial,Minnesota
Statistics,NATURAL & HEALTH SCIENCES,Mathematics & Statistics,College of Arts & Sciences,Bachelor's Degree,2024,Analyst,Software & IT,Solutran,Technology & Software,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,College of Arts & Sciences,Bachelor's Degree,2024,Human Resources Coordinator,Human Resources,Southwest Foodservice Excellence,Retail & Consumer Products,Arizona
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Compliance Services Associate,Software & IT,Sovos,Technology & Software,Massachusetts
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Compliance Services Associate,Software & IT,Sovos,Technology & Software,Massachusetts
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Compliance Services,Software & IT,Sovos,Technology & Software,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's Degree,2024,2d lt,Government & Public Service,Space force,Government & Public Service,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Finance Director,Finance & Accounting,SPH Enterprises,Professional Services & Consulting,Minnesota
Data Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Performance Analyst,Design & Creative,SPL|سُبل,Government & Public Service,Do not live in the United States
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Engineering,Bachelor's Degree,2024,Second grade teacher,Education & Teaching,Spring Lake Park Public Schools,Education & Academia,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,Opus College of Business,Bachelor's Degree,2024,Third Grade teacher,Education & Teaching,Spring Lake Park School District,Education & Academia,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,College of Arts & Sciences,Bachelor's Degree,2024,Student Teacher,Education & Teaching,Spring Lake Park Schools,Education & Academia,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Corporate Development Executive,Software & IT,SprintRay,Technology & Software,Florida
Family Studies,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Opus College of Business,Bachelor's Degree,2024,Human Resources,Human Resources,SPS Commerce,Technology & Software,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Associate Consultant,Consulting & Advisory,SPS Commerce,Technology & Software,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,Community Account Executive,Sales & Business Development,SPS Commerce,Technology & Software,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,School of Engineering,Bachelor's Degree,2024,Associate Consultant,Consulting & Advisory,SPS Commerce,Technology & Software,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Estimator/Scheduler,Construction & Trades,SRF Consulting Group,"Construction, Engineering & Real Estate",Minnesota
Neuroscience,NATURAL & HEALTH SCIENCES,Biological Sciences,Opus College of Business,Bachelor's Degree,2024,Direct support professional,Healthcare & Clinical,St Coletta of wisconsin,Government & Public Service,Wisconsin
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's Degree,2024,grad assistant,Education & Teaching,St Thomas,Education & Academia,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,College of Arts & Sciences,Bachelor's Degree,2024,2nd Grade Teacher,Education & Teaching,St. Charles Borromeo Catholic School,Education & Academia,Minnesota
Public Health,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Arts & Sciences,Bachelor's Degree,2024,Public Health Coordinator,Healthcare & Clinical,St. Cloud Area School District 742,Education & Academia,Minnesota
COJO Creative Multimedia,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Multimedia Content Producer,Marketing & Communications,St. Paul Saints,Retail & Consumer Products,Minnesota
Mathematics (Education Track),NATURAL & HEALTH SCIENCES,Mathematics & Statistics,College of Arts & Sciences,Bachelor's Degree,2024,Middle School Math Teacher,Education & Teaching,St. Peter Catholic School,Education & Academia,Wisconsin
COJO Creative Multimedia,COMMUNICATION & MEDIA,Journalism & Media,Opus College of Business,Bachelor's Degree,2024,Supervisor,Management & Leadership,Starbucks,Retail & Consumer Products,Minnesota
Bus Admin - Communication,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's Degree,2024,Barista,Sales & Business Development,Starbucks,Retail & Consumer Products,Washington
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,College of Arts & Sciences,Bachelor's Degree,2024,New Business Specialist,Finance & Accounting,State Farm,Financial Services & Insurance,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's Degree,2024,Bike Park Designer,Design & Creative,Steamboat Resort,Retail & Consumer Products,Colorado
COJO Journalism,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's Degree,2024,Sports Editor,Marketing & Communications,Steele County Times,Government & Public Service,Minnesota
COJO Strategic Communications,COMMUNICATION & MEDIA,Communication Studies,School of Education,Bachelor's Degree,2024,Marketing intern and leasing consultant,Marketing & Communications,Steven Scott Management,"Construction, Engineering & Real Estate",Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Digital Marketing Intern,Marketing & Communications,Stevens Equipment Supply,Retail & Consumer Products,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Manager,Management & Leadership,StoneArch,Professional Services & Consulting,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Opus College of Business,Bachelor's Degree,2024,Design Engineer,Engineering,Stonebrooke Engineering,"Construction, Engineering & Real Estate",Minnesota
Physics,NATURAL & HEALTH SCIENCES,Physical Sciences,College of Arts & Sciences,Bachelor's Degree,2024,Water Engineer,Engineering,Suez,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Marketing Analyst,Marketing & Communications,SullivanCotter,Professional Services & Consulting,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's Degree,2024,Wholesale Broker,Sales & Business Development,Summit 360,"Construction, Engineering & Real Estate",Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Post-Closing Specialist,Finance & Accounting,Summit Mortgage Corporation - NMLS# 1041,Financial Services & Insurance,Minnesota
Data Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's Degree,2024,Analyst - Customer & Web Analytics,Consulting & Advisory,Sun Country Airlines,Professional Services & Consulting,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's Degree,2024,Loan Officer / LOA,Finance & Accounting,Supreme Lending,Financial Services & Insurance,Texas
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's Degree,2024,Operations Manager,Operations & Supply Chain,Target,Retail & Consumer Products,Minnesota
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,College of Arts & Sciences,Bachelor's Degree,2024,Software Engineer,Software & IT,Target,Retail & Consumer Products,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's Degree,2024,Inventory Analyst,Operations & Supply Chain,Target,Retail & Consumer Products,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,College of Arts & Sciences,Bachelor's Degree,2024,Insights Analyst,Sales & Business Development,Target,Retail & Consumer Products,Minnesota
Operations Management,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's Degree,2024,Inventory Analyst,Operations & Supply Chain,Target,Retail & Consumer Products,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's Degree,2024,Inventory Analyst,Operations & Supply Chain,Target,Retail & Consumer Products,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,School of Engineering,Bachelor's Degree,2024,Sales Team Member,Sales & Business Development,Target,Retail & Consumer Products,Minnesota
