Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
History,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Communication Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Strategic Comm: Ad and PR,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
International Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Economics - Public Policy,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Human Resources Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Economics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Biology of Global Health,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Bus Admin - Communication,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biology of Global Health,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Physics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Real Estate Studies,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Economics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
COJO Strategic Communications,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Law & Compliance,,,Opus College of Business,Bachelor's degree,Minnesota,2022
English - Creative Writing,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
MS Business Analytics,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Political Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Economics - Public Policy,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
History,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Digital Media Arts,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Strategic Comm: Ad and PR,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Operations Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
German,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Statistics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Real Estate Studies,,,Opus College of Business,Bachelor's degree,Minnesota,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Political Science,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
COJO Strategic Communications,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
English,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
English - Creative Writing,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Law & Compliance,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Economics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Operations Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Tennessee,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Geology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Operations Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Spanish Cultural/Literary St.,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Chemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Operations Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Political Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Economics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mathematics (Education Track),,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Intl Studies - Economics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Statistics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Catholic Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Journalism,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
French,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,California,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Justice & Peace Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
MS Operations & Supply Chain Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Human Resources Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Journalism,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Geology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Public Health,,,College of Health,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Data Analytics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Communication Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Bus Admin - Communication,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Human Resources Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2022
Bus Admin - Communication,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Social Work Advanced Standing,,,College of Health,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Digital Media Arts,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Strategic Comm: Ad and PR,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Public Health,,,College of Health,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Social Work,,,College of Health,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Human Resources Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Operations Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Legal Studies,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Law & Compliance,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
English - Creative Writing,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Strategic Comm: Ad and PR,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mathematics (Applied Track),,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Computer Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Digital Media Arts,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Leadership & Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Digital Media Arts,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Operations Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Gen Business Mgmt,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Human Resources Management,,,Opus College of Business,Bachelor's degree,Florida,2022
Data Analytics,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Elementary Education (K-6),,,School of Education,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Intl Studies - Pol Sci,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Financial Management,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Classical Civilization,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
COJO Persuasion/Soc Influence,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Actuarial Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
English - Creative Writing,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Electrical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Individualized,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Civil Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Classical Civilization,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Computer Science,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
English - Creative Writing,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Economics - Public Policy,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Psychology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Communication Studies,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Neuroscience,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Economics - Business,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2022
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2022
Computer Engineering,,,School of Engineering,Bachelor's degree,Florida,2022
Public Health,,,College of Health,Bachelor's degree,Minnesota,2022
Social Work Advanced Standing,,,College of Health,Bachelor's degree,Minnesota,2022
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2022
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2022
Digital Media Arts,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Social Work,,,College of Health,Bachelor's degree,Minnesota,2022
Biochemistry,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Computer Engineering,,,School of Engineering,Bachelor's degree,Mississippi,2022
Accounting,,,Opus College of Business,Bachelor's degree,Missouri,2022
Strategic Comm: Ad and PR,,,College of Arts & Sciences,Bachelor's degree,Nebraska,2022
Catholic Studies,,,College of Arts & Sciences,Bachelor's degree,New York,2022
Accounting,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,North Dakota,2022
Financial Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,North Dakota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,North Dakota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Biology,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
English - Professional Writing,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Family Studies,,,College of Arts & Sciences,Bachelor's degree,Virginia,2022
Mechanical Engineering,,,School of Engineering,Bachelor's degree,Minnesota,2022
Environmental Sci (Biology),,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Law & Compliance,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Minnesota,2022
Entrepreneurship,,,Opus College of Business,Bachelor's degree,Minnesota,2022
English,,,College of Arts & Sciences,Bachelor's degree,Minnesota,2022
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2022
Criminal Justice,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Exercise Science,,,College of Health,Bachelor's degree,Minnesota,2022
Elementary Education (K-6),,,School of Education,Bachelor's degree,Wisconsin,2022
Liberal Arts,,,Dougherty Family College,Bachelor's degree,Minnesota,2022
COJO Persuasion/Soc Influence,,,College of Arts & Sciences,Bachelor's degree,Wisconsin,2022
Marketing Management,,,Opus College of Business,Bachelor's degree,Wisconsin,2022
