Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Financial Management,Technology Risk Analyst,RSM,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Economics - Business,Tax Associate,RSM,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Financial Services & Insurance,Finance & Accounting
Economics - Business,Associate,RSM,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Financial Services & Insurance,Finance & Accounting
Intl Studies - Pol Sci,Sales Associate,Run N Fun,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,International Studies,Retail & Consumer Products,Sales & Business Development
Mathematics (Education Track),Wait Staff,Ruttger's Bay Lake Resort,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Retail & Consumer Products,Sales & Business Development
Marketing Management,Host/Hostess,Sakana Sushi & Asian Bistro,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Mechanical Engineering,Project Engineer,Schadegg Mechanical,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Financial Management,SAP Functional Analyst,Schwan's Company,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Software & IT
Accounting,Trade Coordinator,Schwan's Company,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Construction & Trades
Entrepreneurship,Product Development Assistant,Seasonal Specialties,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Sales & Business Development
Communication Studies,Community Volunteer,Secondhand Hounds,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Government & Public Service,Government & Public Service
Financial Management,Financial Planning and Analysis Analyst,Securian Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Data Analytics,Data Management Analyst,Securian Financial,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Financial Services & Insurance,Finance & Accounting
Marketing Management,Solutions Marketing Manager,Securian Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Marketing & Communications
Entrepreneurship,Owner/Operator,Self-Employed,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Other,Other
Criminal Justice,Bartender,Service Industry,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Sales & Business Development
Economics,Podcast Host,Set the Line Podcast,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Retail & Consumer Products,Sales & Business Development
Theology,Teaching Fellow,Seton Education Partners,College of Arts & Sciences,Bachelor's degree,New York,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Education & Academia,Education & Teaching
Law & Compliance,Compliance Coordinator,Shakopee Mdewakanton Sioux Community Gaming Enterprise,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Retail & Consumer Products,Finance & Accounting
Criminal Justice,Child Support Officer,Sherburne County,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Government & Public Service,Government & Public Service
Biochemistry,Chemist,Sherwin-Williams,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Manufacturing & Industrial,Research & Science
Chemistry,Chemist,Sherwin-Williams,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Manufacturing & Industrial,Research & Science
Marketing Management,Shipt Shopper,Shipt,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Software & IT
Computer Science,Pool Manager,Shoreview Community Center,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Government & Public Service,Management & Leadership
Financial Management,Sales Development Representative,Snowflake Computing,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Sales & Business Development
Mechanical Engineering,Engineer,Solarpod Concentrators Limited,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Energy & Utilities,Engineering
Middle/Secondary Education,Teacher,South Washington County School District,School of Education,Bachelor's degree,Minnesota,2023,EDUCATION & SOCIAL SERVICES,Teacher Education,Education & Academia,Education & Teaching
Human Resources Management,Operations Scheduler,Southwest Airlines,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Professional Services & Consulting,Operations & Supply Chain
Marketing Management,Marketing Associate,Sportsbiz,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Marketing & Communications
Marketing Management,Associate Consultant,SPS Commerce,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Consulting & Advisory
Marketing Management,Account Executive,SPS Commerce,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Sales & Business Development
Music,Teacher,St Croix Catholic School,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,Education & Academia,Education & Teaching
Middle/Secondary Education,Teacher,St Michael-Albertville Middle School East,School of Education,Bachelor's degree,Minnesota,2023,EDUCATION & SOCIAL SERVICES,Teacher Education,Education & Academia,Education & Teaching
Gen Business Mgmt,Teacher,St Odilia School,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Education & Academia,Education & Teaching
Financial Management,Valet Attendant,Standard Parking,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Consulting & Advisory
Philosophy,Corrections Officer,State of Minnesota,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,Government & Public Service,Government & Public Service
Civil Engineering,Bridge Engineer,State of Minnesota,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Government & Public Service,Engineering
Real Estate Studies,Investment Analyst,Stillwater Asset Management,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Investment Analyst,Stillwater Asset Management,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Biology,Manufacturing Associate,Stratix Labs Corporation,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Technology & Software,Software & IT
Exercise Science,Caregiver,Suite Living,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,"Construction, Engineering & Real Estate",Healthcare & Clinical
Financial Management,Analyst,SullivanCotter,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Consulting & Advisory
