Major,Job Title,Company,Academic Division,Degree Level,State,Graduation Year,Major Cluster,Major Subcluster,Industry Group,Job Function
Computer Science,,,College of Arts & Sciences,Bachelor's degree,,2022,ENGINEERING & TECHNOLOGY,Computer Science & IT,Other,Other
Financial Management,,,Opus College of Business,Bachelor's degree,,2022,BUSINESS & MANAGEMENT,Finance & Accounting,Other,Other
MS Operations & Supply Chain Mgmt,IT Analyst,3M,Opus College of Business,Bachelor's degree,,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Technology & Software,Software & IT
Mechanical Engineering,Research Assistant,3M,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Technology & Software,Research & Science
MS Operations & Supply Chain Mgmt,Technology Services Intern,3M,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Technology & Software,Software & IT
Gen Business Mgmt,Integrated Marketing Coordinator,3M,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Marketing & Communications
Leadership & Management,,Abcom USA,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Other
Leadership & Management,National Vice President,Abcom USA,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Management & Leadership
Marketing Management,Special Projects Assistant,Acowsay Designs,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Consulting & Advisory
Biology of Global Health,Direct Care Professional,Acr Homes,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Marketing Management,Associate District Manager,ADP,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Management & Leadership
Mechanical Engineering,Sales Engineer,Advanced Inspection Services,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Professional Services & Consulting,Engineering
Financial Management,Underwriter,Alive Risk,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Financial Management,Commercial Portfolio Manager,Alliance Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Civil Engineering,Transportation Engineer,Alliant Engineering,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Communication Studies,Consultant,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Financial Services & Insurance,Consulting & Advisory
Actuarial Science,Actuarial Analyst,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Internal Sales Consultant,Allianz,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Sales & Business Development
Actuarial Science,Actuarial Analyst,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Actuarial Analyst,Allianz,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Neuroscience,Laboratory Assistant,Allina Health,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Research & Science
Biology,Emergency Medical Technician,Allina Health,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Criminal Justice,Guest Lead,Altar'd State,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Management & Leadership
Leadership & Management,Area Manager,Amazon,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Management & Leadership
Civil Engineering,Field Engineer,"American Engineering Testing, Inc.",School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Actuarial Science,Investment Analyst,American Equity Investment Life Insurance,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Civil Engineering,Chapter Treasurer,American Society of Civil Engineers,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Government & Public Service,Finance & Accounting
Financial Management,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
MS Operations & Supply Chain Mgmt,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Financial Services & Insurance,Finance & Accounting
Data Analytics,Leadership Development Program Associate,Ameriprise Financial,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Financial Services & Insurance,Finance & Accounting
Financial Management,Client Support Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Marketing Management,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Finance & Accounting
International Business,Leadership Development Program Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Financial Services & Insurance,Finance & Accounting
Financial Management,Financial Advisor,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Business Systems Analyst,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Software & IT
Entrepreneurship,Customer Service Associate,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Sales & Business Development
Financial Management,Compensation Analyst,Ameriprise Financial,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Human Resources
Civil Engineering,Civil Engineer,Ami Consulting Engineers,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Financial Management,Partner Specialist,CDW,Opus College of Business,Bachelor's degree,Illinois,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Technology & Software,Software & IT
Leadership & Management,Digital Marketing Coordinator,Andersen Global,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Marketing & Communications
Financial Management,Operational Financial Analyst,Andersen Global,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Mechanical Engineering,Manufacturing Engineer,Andersen Global,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Professional Services & Consulting,Engineering
Mechanical Engineering,Manufacturing Engineer,Andersen Windows,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
MS Operations & Supply Chain Mgmt,ERP Coordinator,Andpak Midwest,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
Elementary Education (K-6),Teacher,Anoka-Hennepin School District,School of Education,Bachelor's degree,Minnesota,2023,EDUCATION & SOCIAL SERVICES,Teacher Education,Education & Academia,Education & Teaching
Gen Business Mgmt,Server,Applebee's,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Sales & Business Development
Actuarial Science,Operations Assistant,Arch Capital Group Ltd.,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Operations & Supply Chain
Computer Science,Security Analyst,Arctic Wolf,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Technology & Software,Software & IT
Exercise Science,Director of Athletic Performance,Arkansas State University,College of Health,Bachelor's degree,Arkansas,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Education & Academia,Design & Creative
Economics - Business,Model,Arquette Agency,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Professional Services & Consulting,Consulting & Advisory
Marketing Management,Account Coordinator,Arrowhead Promotion & Fulfillment,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Sales & Business Development
Leadership & Management,Major Gifts Officer,Ascension Academy,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Education & Academia,Education & Teaching
Psychology,Technical Recruiter,ASGN,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Professional Services & Consulting,Human Resources
Financial Management,Investment Banking Analyst,Chartwell Financial Advisory,Opus College of Business,Bachelor's degree,Illinois,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Biology,Emergency Medical Technician,Aspirus,College of Arts & Sciences,Bachelor's degree,Wisconsin,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Accounting,Audit and Assurance Assistant,Deloitte,Opus College of Business,Bachelor's degree,Illinois,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Finance & Accounting
Communication Studies,Sales Coordinator,Bally Sports,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Retail & Consumer Products,Sales & Business Development
Bus Admin - Communication,Recruitment Specialist,BAMCIS Talent,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Human Resources
Marketing Management,Inside Sales Specialist,Banner Engineering,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Manufacturing & Industrial,Sales & Business Development
Mechanical Engineering,Mechanical Design Engineer,Banner Engineering,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Marketing Management,Marketing Coordinator,Baseline Fitness,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Healthcare & Medical,Marketing & Communications
Biology,Environmental Field Technician,Bay West,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Professional Services & Consulting,Engineering
Accounting,Audit Associate,BDO,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Accounting,Audit Associate,BDO,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Computer Science,Software Engineering Associate,Best Buy,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Retail & Consumer Products,Software & IT
Marketing Management,Demand Planner,Best Buy,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Operations & Supply Chain
Computer Science,Software Engineering Associate,Best Buy,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Retail & Consumer Products,Software & IT
Entrepreneurship,Merchant Analyst,Best Buy,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Retail & Consumer Products,Sales & Business Development
Political Science,Consultation Agent,Best Buy,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Sales & Business Development
Financial Management,Crowd Manager,BEST Crowd Management,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Management & Leadership
Entrepreneurship,Business Development Representative,Betteryou Ltd,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Technology & Software,Sales & Business Development
Environmental Science,Geologist,"Big Rock Exploration, Llc.",College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Environmental Sciences,Energy & Utilities,Research & Science
Environmental Science,Geologist,"Big Rock Exploration, Llc.",College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Environmental Sciences,Energy & Utilities,Research & Science
Geology,Geologist,"Big Rock Exploration, Llc.",College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Physical Sciences,Energy & Utilities,Research & Science
Marketing Management,Brand Ambassador,Biiah,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Marketing & Communications
Spanish Cultural/Literary St.,Communications Coordinator,Bilingual Learning Center,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,"ARTS, LANGUAGES & THEOLOGY",Languages,Education & Academia,Marketing & Communications
Mechanical Engineering,Shift Leader,Bills Superette,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Retail & Consumer Products,Sales & Business Development
Exercise Science,Client Service Associate,Biomedix,College of Health,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Healthcare & Medical,Sales & Business Development
Mechanical Engineering,Research and Development Engineer,Biomerics,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Healthcare & Medical,Engineering
Biology of Global Health,Scientific Associate,Bio-Techne,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Technology & Software,Software & IT
Computer Science,Software Engineer,Bloomberg,College of Arts & Sciences,Bachelor's degree,New York,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,Technology & Software,Software & IT
Gen Business Mgmt,Account Management Intern,Blue Cross Blue Shield,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Healthcare & Medical,Healthcare & Clinical
Financial Management,Analyst,Blue Ops Partners,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Consulting & Advisory
Economics - Business,Financial Analyst,Blue Ops Partners,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Economics,Professional Services & Consulting,Finance & Accounting
Marketing Management,Media Research Intern,Bold Orange,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Research & Science
MS Operations & Supply Chain Mgmt,Supply Chain Specialist,Border States Electric,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Manufacturing & Industrial,Operations & Supply Chain
Entrepreneurship,Associate,Boston Consulting Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Consulting & Advisory
Electrical Engineering,Supplier Engineer,Boston Scientific,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Healthcare & Medical,Engineering
Electrical Engineering,Electrical Engineer,Boston Scientific,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Healthcare & Medical,Engineering
Accounting,Audit Associate,Boulay,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Accounting,Staff Accountant,Boyum & Barenscheer Pllp,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Entrepreneurship,Sales Associate,Brick + Linen,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Sales & Business Development
Gen Business Mgmt,Tenant Services Coordinator,Bridge Investment Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Finance & Accounting
Financial Management,Credit Analyst,Bridgewater Bank,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Credit Analyst,Bridgewater Bank,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Individualized,Healthy Living Director,Brightside Produce,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Retail & Consumer Products,Management & Leadership
Financial Management,Server,Brits British Pub and Eatery,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Sales & Business Development
Financial Management,Account Executive,Brooksource,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Sales & Business Development
Human Resources Management,Employee Benefits Representative,Brown & Brown,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Specialized Business,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Data Analytics Intern,Brown & Brown,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Chess Coach,Buffalo Figure Skating Club,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Sales & Business Development
Civil Engineering,Staff Engineer,Buildings Consulting Group,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Electrical Engineering,Electrical Engineer,Burns & McDonnell,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Gen Business Mgmt,Operations Coordinator,C.H. Robinson Worldwide,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Operations & Supply Chain
Financial Management,Underwriter,C.N.A Insurance Companies,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
MS Operations & Supply Chain Mgmt,Manufacturing Operations Specialist,Caerus,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Operations & Analytics,Financial Services & Insurance,Operations & Supply Chain
Computer Science,Software Engineering Associate,Calspan Corporation,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Computer Science & IT,"Construction, Engineering & Real Estate",Software & IT
Marketing Management,Digital Marketing Specialist,Capital Construction,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,"Construction, Engineering & Real Estate",Marketing & Communications
Mechanical Engineering,Sales and Application Engineer,Captiveaire Systems,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Software & IT
Communication Studies,Event Coordinator,Cardigan Donuts,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Retail & Consumer Products,Marketing & Communications
Mechanical Engineering,Reliability Engineer,Cargill,School of Engineering,Bachelor's degree,Iowa,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Manufacturing & Industrial,Engineering
Financial Management,Financial Services Associate,Cargill,Opus College of Business,Bachelor's degree,Mississippi,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Manufacturing & Industrial,Finance & Accounting
Financial Management,Sales Specialist,CarMax,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Retail & Consumer Products,Sales & Business Development
Bus Admin - Communication,Recruiter Specialist,Carousel Motor Group,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Human Resources
Mechanical Engineering,Design Engineer,Caztek Engineering,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,"Construction, Engineering & Real Estate",Engineering
Biology,Personal Care Assistant,Dignified Choice Care,College of Arts & Sciences,Bachelor's degree,Illinois,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Journalism,News Reporter,Center for Broadcast Journalism,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Journalism & Media,Education & Academia,Marketing & Communications
Gen Business Mgmt,Development Associate,Center For Victims of Torture,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Government & Public Service,Government & Public Service
Liberal Arts,Sterile Processing Technician,CentraCare Health,Dougherty Family College,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Humanities & Liberal Arts,Healthcare & Medical,Engineering
Marketing Management,Renewal Account Executive,Channel Partners Capital,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Financial Services & Insurance,Sales & Business Development
Financial Management,Financial Analyst,Chartwell Financial Advisory,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Actuarial Science,Actuarial Analyst,Edgewater Actuarial Insights,College of Arts & Sciences,Bachelor's degree,Illinois,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Analyst,Chartwell Financial Advisory,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Psychology,Financial Counselor,Children's Minnesota,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Healthcare & Medical,Healthcare & Clinical
Public Health,Clinical Research Associate,Children's Minnesota,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Health & Wellness,Healthcare & Medical,Healthcare & Clinical
Biology,Clinic Assistant,Children's Minnesota,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Healthcare & Medical,Healthcare & Clinical
Geography - Geo Info Sys (GIS),Asset Management Technician,"City of Apple Valley, Mn",College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Environmental Sciences,Government & Public Service,Finance & Accounting
Biology,Data Analysis Intern,City of Brooklyn Park,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Government & Public Service
Neuroscience,Parks Maintenance Worker,City of Cottage Grove,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Government & Public Service
Gen Business Mgmt,Sales Support Associate,Cj & Associates,Opus College of Business,Bachelor's degree,Wisconsin,2023,BUSINESS & MANAGEMENT,General Business,Professional Services & Consulting,Sales & Business Development
Accounting,Associate,Cliftonlarsenallen,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Accounting,Associate,Cliftonlarsonallen,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Gen Business Mgmt,Tax Associate,Cliftonlarsonallen,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Financial Services & Insurance,Finance & Accounting
Accounting,Audit Associate,Cliftonlarsonallen,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Finance & Accounting
Financial Management,Consultant,Cliftonlarsonallen,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Financial Services & Insurance,Consulting & Advisory
Individualized,Account Specialist,Code Ninjas,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,SOCIAL SCIENCES & HUMANITIES,Social Sciences,Technology & Software,Sales & Business Development
Marketing Management,Associate Accounting Manager,Collabera,Opus College of Business,Bachelor's degree,Washington,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Technology & Software,Finance & Accounting
Communication Studies,Application Data Management,Colonial Life,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Communication Studies,Financial Services & Insurance,Finance & Accounting
Mechanical Engineering,Process Development Engineer,Coloplast Interventional Urology,School of Engineering,Bachelor's degree,Minnesota,2023,ENGINEERING & TECHNOLOGY,Engineering Disciplines,Healthcare & Medical,Engineering
Financial Management,Business Development Manager,Commerce Express,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Professional Services & Consulting,Sales & Business Development
Marketing Management,Sales Coordinator,Commercial Recreation Specialists,Opus College of Business,Bachelor's degree,Wisconsin,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Retail & Consumer Products,Sales & Business Development
Leadership & Management,Grain Merchandiser,Community Health Systems Professional Services Corporation,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,General Business,Healthcare & Medical,Healthcare & Clinical
Financial Management,Associate Account Director,Community Health Systems Professional Services Corporation,Opus College of Business,Bachelor's degree,Minnesota,2023,BUSINESS & MANAGEMENT,Finance & Accounting,Healthcare & Medical,Management & Leadership
Marketing Management,Talent Associate,Concero Search Partners,Opus College of Business,Bachelor's degree,Wisconsin,2023,BUSINESS & MANAGEMENT,Marketing & Communication,Professional Services & Consulting,Consulting & Advisory
Digital Media Arts,Brand Executive,Congo,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,COMMUNICATION & MEDIA,Journalism & Media,Government & Public Service,Marketing & Communications
Environmental Sci (Biology),Geriatric Fellow,Conservation Corps Minnesota and Iowa,College of Arts & Sciences,Bachelor's degree,Minnesota,2023,NATURAL & HEALTH SCIENCES,Biological Sciences,Government & Public Service,Government & Public Service
